participant_id,session_id,trial,value_0,value_1,prediction_error
P001,1,108,0.724218936,0.275781064,-0.275781064
P001,1,109,0.795420829,0.204579171,-0.204579171
P001,1,110,0.848239627,0.151760373,-0.151760373
P001,1,111,0.887421526,-0.887421526,0.887421526
P001,1,112,0.658304662,0.341695338,-0.341695338
P001,1,113,0.746524479,0.253475521,-0.253475521
P001,1,114,0.811967467,0.188032533,-0.188032533
P001,1,115,0.86051421,0.13948579,-0.13948579
P001,1,116,0.896527024,0.103472976,-0.103472976
P001,1,117,0.923241954,0.076758046,-0.076758046
P001,1,118,0.943059552,0.056940448,-0.056940448
P001,1,119,0.957760589,0.042239411,-0.042239411
P001,1,120,0.968666073,0.031333927,-0.031333927
P001,1,121,0.97675595,0.02324405,-0.02324405
P001,1,122,0.982757161,0.017242839,-0.017242839
P001,1,123,0.987208964,0.012791036,-0.012791036
P001,1,124,0.990511388,0.009488612,-0.009488612
P001,1,125,0.992961183,0.007038817,-0.007038817
P001,1,126,0.994778484,0.005221516,-0.005221516
P001,1,127,0.996126589,0.003873411,-0.003873411
P001,1,128,0.997126636,0.002873364,-0.002873364
P001,1,129,0.997868489,0.002131511,-0.002131511
P001,1,130,0.998418808,0.001581192,-0.001581192
P001,1,131,0.998827045,0.001172955,-0.001172955
P001,1,132,0.999129881,0.000870119,-0.000870119
P001,1,133,0.999354531,-0.999354531,0.999354531
P001,1,134,0.741338504,0.258661496,-0.258661496
P001,1,135,0.808120421,0.191879579,-0.191879579
P001,1,136,0.857660404,0.142339596,-0.142339596
P001,1,137,0.894410022,-0.894410022,0.894410022
P001,1,138,0.663488849,0.336511151,-0.336511151
P001,1,139,0.750370198,0.249629802,-0.249629802
P001,1,140,0.814820289,0.185179711,-0.185179711
P001,1,141,0.862630482,0.137369518,-0.137369518
P001,1,142,0.898096912,-0.898096912,0.898096912
P001,1,143,0.666223848,0.333776152,-0.333776152
P001,1,144,0.752399068,0.247600932,-0.247600932
P001,1,145,0.816325339,0.183674661,-0.183674661
P001,1,146,0.863746955,0.136253045,-0.136253045
P001,1,147,0.898925131,0.101074869,-0.101074869
P001,1,148,0.925020911,-0.925020911,0.925020911
P001,1,149,0.686196537,-0.686196537,0.686196537
P001,1,150,0.509032478,-0.509032478,0.490967522
P001,1,151,0.377609111,-0.377609111,0.622390889
P001,1,152,0.28011698,-0.28011698,0.71988302
P001,1,153,0.207795628,0.792204372,0.792204372
P001,1,154,0.412329073,-0.412329073,0.412329073
P001,1,155,0.30587285,-0.30587285,0.69412715
P001,1,156,0.226901779,-0.226901779,0.773098221
P001,1,157,0.16831967,-0.16831967,0.83168033
P001,1,158,0.124862447,0.875137553,0.875137553
P001,1,159,0.350807803,0.649192197,-0.649192197
P001,1,160,0.518417982,0.481582018,-0.481582018
P001,1,161,0.642754116,-0.642754116,0.642754116
P001,1,162,0.476806138,-0.476806138,0.476806138
P001,1,163,0.353703053,0.646296947,0.646296947
P001,1,164,0.520565729,-0.520565729,0.520565729
P001,1,165,0.386164676,-0.386164676,0.386164676
P001,1,166,0.286463646,-0.286463646,0.713536354
P001,1,167,0.212503695,-0.212503695,0.787496305
P001,1,168,0.157638923,-0.157638923,0.842361077
P001,1,169,0.116939284,-0.116939284,0.883060716
P001,1,170,0.086747586,-0.086747586,0.913252414
P001,1,171,0.064350862,-0.064350862,0.935649138
P001,1,172,0.047736585,-0.047736585,0.952263415
P001,1,173,0.035411825,-0.035411825,0.964588175
P001,1,174,0.026269106,0.973730894,0.973730894
P001,1,175,0.277669554,0.722330446,0.722330446
P001,1,176,0.464162761,0.535837239,0.535837239
P001,1,177,0.602506654,0.397493346,-0.397493346
P001,1,178,0.70513255,-0.70513255,0.70513255
P001,1,179,0.523079541,-0.523079541,0.476920459
P001,1,180,0.388029465,0.611970535,0.611970535
P001,1,181,0.546029656,-0.546029656,0.546029656
P001,1,182,0.405054258,-0.405054258,0.594945742
P001,1,183,0.300476266,0.699523734,0.699523734
P001,1,184,0.481081175,0.518918825,0.518918825
P001,1,185,0.615057026,-0.615057026,0.615057026
P001,1,186,0.456259957,0.543740043,-0.543740043
P001,1,187,0.596644217,0.403355783,-0.403355783
P001,1,188,0.700783692,-0.700783692,0.700783692
P001,1,189,0.519853483,0.480146517,0.480146517
P001,1,190,0.643818996,-0.643818996,0.356181004
P001,1,191,0.477596084,-0.477596084,0.522403916
P001,1,192,0.354289049,-0.354289049,0.645710951
P001,1,193,0.262817754,-0.262817754,0.737182246
P001,1,194,0.194962763,-0.194962763,0.805037237
P001,1,195,0.144626755,-0.144626755,0.855373245
P001,1,196,0.107286633,-0.107286633,0.892713367
P001,1,197,0.079587083,0.920412917,0.920412917
P001,1,198,0.317221753,0.682778247,0.682778247
P001,1,199,0.493503268,-0.493503268,0.493503268
P001,1,200,0.366089274,0.633910726,-0.633910726
P001,1,201,0.529754041,0.470245959,-0.470245959
P001,1,202,0.651163401,0.348836599,-0.348836599
P001,1,203,0.741226968,-0.741226968,0.741226968
P001,1,204,0.549855006,0.450144994,-0.450144994
